aggregate_summary.csv

Number of Trials with Mean Rock Displacement <= 0,1
Specific Trials with Mean Rock Displacement <= 0,417

Number of Trials with Mean BBot Displacement <= 0,95
Specific Trials with Mean BBot Displacement <= 0,"3, 7, 9, 12, 48, 49, 91, 105, 137, 149, 152, 153, 171, 196, 206, 218, 225, 228, 240, 242, 252, 259, 271, 275, 276, 286, 307, 322, 334, 336, 341, 346, 351, 361, 371, 413, 423, 432, 439, 472, 475, 480, 498, 507, 518, 526, 532, 533, 543, 553, 566, 579, 599, 604, 606, 617, 626, 650, 652, 676, 698, 699, 707, 719, 720, 721, 722, 729, 731, 754, 761, 774, 778, 786, 787, 794, 805, 815, 821, 822, 827, 865, 873, 883, 897, 917, 933, 945, 949, 959, 961, 967, 971, 972, 983"

Total Trials,1000

,Mean of Pooled Rock Displacement (px),46.47
,SD of Above (px),64.3
,Mean of Intra-Run Rock Displacement (px),46.47
,SD of Above (px),26.2

,Mean of Pooled Bbot Displacements (px),71.16
,SD of Above (px),174.74
,Mean of Intra-Run Bbot Displacements (px),71.16
,SD of Above (px),55.0

,Mean of Pooled Bbot Stop Times (s),14.16
,SD of Above (s),15.12
,Mean of Intra-Run Stop Time Means (s),14.16
,SD of Above (s),11.71


Trial,Duration,Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time,BBot Stop SD
192,24.0,26.33,69.7,85.29,148.24,5.43,4.99
193,44.3,50.56,90.97,150.71,170.7,20.67,13.62
194,9.62,21.1,30.23,31.83,178.11,2.83,2.12
195,19.92,41.41,69.02,79.93,192.46,7.02,4.63
196,23.2,15.77,32.77,-23.95,146.51,4.14,5.25
197,15.88,34.8,43.73,48.34,150.08,4.76,4.42
198,29.53,61.27,60.76,70.0,176.13,7.11,6.23
199,47.97,80.03,71.17,72.65,183.92,24.01,12.96
200,38.95,56.52,69.78,108.22,169.45,15.1,10.06
201,18.52,75.17,56.84,55.02,146.79,8.48,5.07
202,8.82,9.43,26.22,10.11,108.6,2.1,1.87
203,83.07,66.4,62.59,170.42,146.62,31.46,20.45
204,15.98,20.74,39.15,61.76,156.1,3.75,3.97
205,40.75,66.56,90.35,101.84,203.34,11.57,9.85
206,30.52,36.88,58.16,-8.04,129.14,6.95,5.51
207,14.05,12.6,15.78,15.33,131.66,3.33,2.92
208,44.83,95.87,99.35,110.59,156.02,26.89,12.84
209,42.17,44.43,48.08,96.9,136.81,10.43,12.74
210,39.1,49.95,59.03,83.77,157.8,15.99,9.99
211,77.98,96.4,93.31,194.1,161.2,46.71,18.5
212,43.38,39.16,64.87,20.75,148.11,16.92,12.2
213,32.12,25.98,32.52,48.33,130.46,6.99,9.14
214,21.95,28.68,40.69,26.36,169.29,7.64,7.05
215,28.5,26.65,30.55,54.22,163.78,5.13,5.26
216,35.2,48.86,73.27,82.63,191.49,18.85,12.45
217,71.45,59.37,70.4,76.84,203.56,48.87,22.98
218,27.08,31.03,52.36,-6.77,196.32,11.1,8.57
219,11.42,23.32,43.55,8.62,150.86,3.26,2.39
220,28.68,34.36,60.88,74.31,196.71,10.18,7.09
221,25.82,45.57,41.47,63.97,176.94,10.05,8.1
222,32.57,35.2,43.35,95.27,185.5,20.39,9.95
223,34.82,64.57,64.97,102.19,170.87,10.97,8.64
224,14.77,18.35,36.77,27.32,155.52,3.72,3.72
225,10.5,18.93,28.51,-13.76,173.08,3.98,3.19
226,58.95,81.2,92.7,101.74,162.56,23.71,17.16
227,10.87,20.42,28.0,20.96,130.45,2.18,2.06
228,12.35,28.07,41.17,-6.04,148.02,3.27,3.02
229,34.25,34.91,35.97,111.04,189.64,14.36,9.07
230,26.78,18.44,24.21,47.6,163.84,3.74,4.56
231,61.17,62.39,83.44,87.87,180.71,20.02,12.66
232,14.5,17.35,26.02,43.58,141.19,4.78,3.69
233,41.22,47.88,49.57,62.8,163.17,20.07,13.82
234,20.88,27.29,51.33,69.78,136.38,8.54,6.68
235,14.05,12.1,33.28,38.56,145.46,4.21,3.83
236,31.78,32.02,40.51,16.59,159.17,8.82,9.71
237,52.68,105.32,95.28,158.71,142.62,30.2,16.52
238,22.42,44.24,56.18,68.76,142.66,6.68,6.64
239,10.52,21.27,29.51,0.66,155.65,3.32,2.95
240,12.42,6.36,21.15,-19.32,145.9,3.46,2.82
241,24.1,21.69,34.4,4.05,142.47,5.88,4.06
242,19.68,18.19,31.49,-38.12,128.0,7.0,6.31
243,42.58,52.0,77.55,98.32,180.42,19.11,8.78
244,27.02,51.98,60.13,45.17,185.06,12.35,9.03
245,40.82,22.66,27.9,72.71,142.29,20.3,14.98
246,13.13,30.62,38.97,9.16,151.13,4.82,4.39
247,36.87,33.65,69.2,108.72,188.38,17.81,10.58
248,29.82,54.93,68.08,169.18,208.69,16.27,8.48
249,19.7,51.32,59.41,53.86,170.73,6.55,4.23
250,29.13,36.89,60.24,21.22,166.1,6.06,5.07
251,35.93,34.7,32.32,29.29,147.39,17.05,11.11
252,9.58,8.76,29.24,-6.21,146.77,3.1,2.95
253,32.08,22.88,28.9,38.28,172.72,13.36,11.04
254,29.02,40.17,69.47,48.5,140.47,11.2,10.41
255,13.3,33.23,42.46,51.25,169.36,5.81,3.64
256,35.87,46.43,67.34,50.95,155.91,14.84,11.45
257,19.92,64.37,90.92,53.99,197.45,7.74,4.21
258,29.82,19.6,27.6,17.4,157.58,7.71,7.41
259,12.58,9.44,32.29,-10.06,137.84,4.95,3.85
260,76.63,88.35,61.5,131.88,185.56,44.27,21.47
261,37.6,66.61,78.7,120.88,156.63,23.71,10.61
262,64.03,73.71,108.95,136.67,191.36,41.43,18.05
263,38.57,69.96,69.27,77.16,130.01,11.78,9.33
264,20.32,51.36,60.67,88.58,168.38,7.06,6.38
265,31.65,40.71,39.6,104.88,158.63,11.53,6.86
266,33.02,28.75,66.97,114.81,150.3,10.06,8.78
267,55.32,83.85,96.3,98.51,176.78,39.51,17.19
268,22.35,45.67,45.47,55.09,145.91,10.82,6.17
269,29.72,43.43,56.35,88.28,192.46,8.9,8.32
270,39.32,59.71,86.32,97.85,181.07,19.22,11.0
271,7.7,14.05,29.43,-3.6,122.96,1.89,1.77
272,62.0,66.21,98.26,138.76,145.64,28.14,18.34
273,115.9,129.79,108.18,178.62,195.72,81.9,25.06
274,13.3,35.45,63.6,60.8,146.1,4.65,3.23
275,8.17,10.73,24.5,-10.12,132.6,1.46,1.65
276,15.4,17.35,35.19,-12.61,164.45,5.33,4.47
277,23.38,22.01,42.96,40.5,153.82,3.09,4.22
278,16.85,32.69,42.08,39.19,181.07,7.93,5.33
279,30.25,36.13,68.86,62.99,180.65,12.26,8.65
280,18.75,12.81,23.52,27.35,147.55,6.68,6.14
281,27.13,29.07,48.99,44.08,176.79,11.67,6.27
282,51.72,99.81,104.09,178.63,173.12,22.42,12.23
283,25.18,33.3,37.64,26.76,119.09,2.66,3.77
284,21.53,54.36,66.35,29.18,154.51,8.51,5.87
285,28.37,73.24,80.78,95.73,134.83,12.03,8.61
286,10.92,5.23,39.97,-28.56,116.91,3.05,2.53
287,18.02,24.07,31.61,20.57,175.67,4.72,5.46
288,33.48,103.72,97.13,196.38,183.94,19.27,8.17
289,27.67,20.82,35.18,112.57,172.6,8.87,6.67
290,35.07,56.02,78.65,81.87,168.67,13.39,10.37
291,24.12,41.9,71.41,84.78,150.39,10.46,7.06
292,26.28,27.37,30.41,4.84,135.89,6.79,6.83
293,75.53,94.92,73.43,146.85,215.4,34.53,23.12
294,14.12,27.28,34.85,53.94,142.31,3.72,2.95
295,38.32,35.42,54.14,69.81,182.83,17.63,10.48
296,17.15,38.95,70.54,43.98,148.89,8.16,5.49
297,53.02,49.56,46.41,131.89,148.54,19.55,15.76
298,18.52,47.05,72.17,99.15,194.65,8.74,5.64
299,52.17,68.74,44.58,155.76,170.45,23.77,17.49
300,18.72,34.26,55.34,49.02,144.46,5.06,4.14
