aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,"123, 398, 493"
Trials with Mean BBot Displacement <= 0,"19, 33, 46, 48, 52, 72, 74, 76, 90, 109, 129, 139, 144, 148, 159, 160, 184, 196, 210, 228, 250, 252, 269, 283, 291, 299, 310, 331, 362, 365, 367, 395, 398, 417, 468, 473, 478, 483, 493, 502, 525, 528, 537, 546, 553, 557, 578, 584, 597, 604, 639, 641, 643, 645, 648, 649, 663, 672, 683, 702, 718, 728, 746, 761, 768, 810, 826, 849, 863, 870, 928, 932, 946, 965, 971, 988"

Total Trials,1000

,Mean of Pooled Rock Displacement (px),46.83
,SD of Above (px),64.03
,Mean of Intra-Run Rock Displacement (px),46.83
,SD of Above (px),25.03

,Mean of Pooled Bbot Displacements (px),71.22
,SD of Above (px),175.56
,Mean of Intra-Run Bbot Displacements (px),71.22
,SD of Above (px),54.6

,Mean of Pooled Bbot Stop Times (s),14.77
,SD of Above (s),15.88
,Mean of Intra-Run Stop Time Means (s),14.77
,SD of Above (s),12.21


Trial,Duration,Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time,BBot Stop SD
312,42.25,74.41,88.27,94.25,173.06,26.18,12.99
313,23.67,48.19,52.88,33.87,164.51,9.91,6.18
314,41.63,68.89,75.05,142.77,183.71,12.06,7.06
315,60.43,74.6,59.77,58.35,197.38,19.44,9.88
316,26.07,57.16,65.94,33.49,175.43,12.21,8.64
317,30.0,46.88,54.42,85.21,173.21,13.1,8.9
318,15.53,28.3,49.3,30.24,138.69,4.98,4.42
319,46.77,98.78,69.99,190.99,164.6,30.48,14.85
320,31.18,67.76,78.16,72.08,149.26,17.64,11.1
321,41.4,64.76,68.41,117.59,170.86,18.45,8.96
322,50.82,70.99,93.13,114.28,179.06,31.95,12.76
323,31.5,26.53,49.93,13.01,140.29,11.92,11.03
324,31.6,46.74,72.28,123.45,159.67,11.39,7.6
325,59.58,67.35,69.94,118.72,226.1,21.47,13.18
326,15.62,29.55,60.26,37.76,151.3,6.49,5.36
327,70.25,95.68,85.64,169.91,178.7,48.69,17.55
328,105.28,103.76,79.52,206.66,179.53,46.11,21.76
329,111.78,143.68,118.59,228.5,163.86,51.15,17.77
330,23.55,45.88,61.23,90.27,150.96,9.71,7.23
331,12.52,5.26,18.23,-7.6,116.13,2.71,2.93
332,36.43,64.09,75.22,125.93,152.31,15.15,8.07
333,16.28,21.12,47.5,38.57,134.18,3.88,3.46
334,30.17,24.97,46.7,166.78,175.87,17.66,8.17
335,23.57,52.28,75.46,54.35,160.98,10.67,6.55
336,11.63,11.13,30.39,9.43,133.19,3.74,3.74
337,16.32,45.71,55.81,81.19,166.2,8.6,4.29
338,26.88,72.33,73.22,56.1,145.29,7.98,5.48
339,16.48,19.11,41.46,13.99,147.86,4.55,4.36
340,29.95,96.51,111.16,115.54,166.01,16.5,8.11
341,11.2,20.41,29.38,18.55,116.49,5.47,3.3
342,43.65,18.79,28.48,52.98,162.12,9.7,8.16
343,23.27,27.0,48.14,108.26,119.87,5.93,5.74
344,53.18,56.5,51.25,18.89,195.51,28.75,12.3
345,29.37,18.83,27.44,37.78,138.99,11.57,9.52
346,53.55,65.2,72.93,91.37,148.04,13.23,13.65
347,47.87,45.42,68.56,96.98,177.91,26.71,15.71
348,21.33,23.99,39.6,69.64,181.53,6.87,5.94
349,92.98,80.06,78.34,185.58,157.59,43.97,27.31
350,30.02,48.68,90.35,12.83,144.25,7.95,8.55
351,23.27,29.07,34.65,20.7,132.97,6.06,5.7
352,34.23,50.46,65.24,63.98,195.28,18.4,10.92
353,65.28,64.41,97.28,164.03,172.48,39.35,16.49
354,32.1,55.21,54.97,91.3,181.55,16.75,10.32
355,47.87,96.44,98.22,144.13,173.52,27.36,11.83
356,70.47,84.34,114.97,57.15,175.48,39.6,23.77
357,46.75,52.13,72.66,76.85,156.05,18.39,18.09
358,41.13,108.47,103.69,175.76,163.67,27.67,9.37
359,19.58,40.16,42.05,35.33,177.07,7.92,4.69
360,17.28,18.81,32.17,19.14,155.89,3.01,3.58
361,41.02,55.66,52.9,62.41,169.7,16.34,14.66
362,14.13,12.29,47.41,-35.57,136.64,6.72,3.92
363,16.88,27.16,36.72,28.79,153.64,4.16,3.32
364,47.12,75.39,55.13,150.06,165.71,26.98,14.14
365,19.85,39.42,55.13,-11.92,188.71,8.21,5.52
366,81.2,44.56,61.67,34.83,155.99,29.12,30.5
367,9.55,25.09,40.8,-2.77,122.03,2.93,2.85
368,27.68,25.6,32.42,90.31,150.86,3.39,4.25
369,43.57,66.32,82.43,118.6,165.62,19.08,11.96
370,24.38,24.96,36.09,22.02,126.39,7.05,5.21
371,14.7,17.52,33.73,30.49,174.59,6.11,4.31
372,14.05,22.27,45.61,9.51,178.13,3.08,3.17
373,94.13,69.35,91.27,99.24,229.44,67.07,21.45
374,14.22,55.64,57.71,119.45,185.83,8.27,4.47
375,25.28,62.45,56.2,88.33,197.85,13.31,7.24
376,45.65,67.82,88.95,174.94,176.51,18.72,11.79
377,33.57,32.59,28.0,82.12,157.63,10.44,8.33
378,49.63,61.85,58.56,31.15,196.11,27.01,9.87
379,90.05,95.25,120.87,143.13,200.11,55.91,18.01
380,23.55,27.8,53.91,44.09,117.95,5.2,5.73
381,42.73,36.33,38.88,80.34,145.3,10.9,11.24
382,68.25,105.02,56.19,129.96,165.66,55.99,10.47
383,27.82,30.21,58.03,42.47,143.11,4.86,5.85
384,32.97,71.97,74.38,132.9,182.48,18.41,8.66
385,16.12,34.28,47.02,18.55,159.45,6.66,3.9
386,62.38,104.99,75.82,182.91,182.32,36.38,11.58
387,25.2,21.85,35.54,64.58,164.21,10.65,7.49
388,9.5,33.3,36.28,60.81,109.42,3.74,2.67
389,87.5,99.88,98.29,158.84,180.62,42.12,21.72
390,36.55,56.41,63.33,109.26,167.13,11.25,9.47
391,31.5,37.77,52.12,57.93,200.0,14.71,9.1
392,44.75,95.97,83.33,173.64,177.08,17.27,10.51
393,30.5,30.47,60.7,43.6,137.12,10.82,8.12
394,37.42,63.43,66.19,151.6,170.27,21.94,12.3
395,6.38,17.61,40.32,-23.33,151.54,3.07,1.6
396,22.38,24.64,40.78,47.62,128.98,11.84,7.42
397,30.63,35.63,31.35,53.55,150.52,10.06,7.78
398,18.5,-1.2,15.46,-21.51,107.84,4.07,4.2
399,29.73,56.42,59.01,79.38,163.25,11.74,8.09
400,54.62,52.94,80.15,80.4,175.74,26.9,15.47
401,19.68,46.31,45.26,33.56,162.59,8.59,5.34
402,29.42,43.83,80.86,1.48,159.4,12.6,8.75
403,21.07,26.27,36.71,45.29,147.35,8.48,7.35
404,20.58,28.74,39.02,48.88,145.28,5.16,4.22
405,50.6,86.9,55.85,137.59,176.02,28.8,11.44
406,42.93,57.62,45.67,43.61,171.08,13.05,13.37
