Group,Clustering_Score
Active (Stigmergic),0.5210803689064558
Active (Stigmergic),0.5025575447570333
Active (Stigmergic),0.5203562340966921
Active (Stigmergic),0.5138888888888888
Active (Stigmergic),0.5145631067961165
Active (Stigmergic),0.5236486486486487
Active (Stigmergic),0.5025608194622279
Active (Stigmergic),0.49404761904761907
Active (Stigmergic),0.5
Active (Stigmergic),0.4966974900924703
Active (Stigmergic),0.4987244897959184
Active (Stigmergic),0.5159642401021711
Active (Stigmergic),0.5034153005464481
Active (Stigmergic),0.4912868632707775
Active (Stigmergic),0.476628895184136
Active (Stigmergic),0.5090439276485789
Active (Stigmergic),0.4986244841815681
Active (Stigmergic),0.4885752688172043
Active (Stigmergic),0.525503355704698
Active (Stigmergic),0.4823848238482385
Active (Stigmergic),0.5087483176312247
Active (Stigmergic),0.49933155080213903
Active (Stigmergic),0.5128900949796472
Active (Stigmergic),0.5277777777777778
Active (Stigmergic),0.5039011703511054
Active (Stigmergic),0.5041666666666667
Active (Stigmergic),0.5145502645502645
Active (Stigmergic),0.508871989860583
Active (Stigmergic),0.4846666666666667
Active (Stigmergic),0.510806916426513
Active (Stigmergic),0.5178100263852242
Active (Stigmergic),0.4940944881889764
Active (Stigmergic),0.5082872928176796
Active (Stigmergic),0.5262123197903015
Active (Stigmergic),0.5093959731543625
Active (Stigmergic),0.4747612551159618
Active (Stigmergic),0.5048476454293629
Active (Stigmergic),0.5034916201117319
Active (Stigmergic),0.5047106325706595
Active (Stigmergic),0.5197889182058048
Active (Stigmergic),0.5
Active (Stigmergic),0.5209390862944162
Active (Stigmergic),0.5201072386058981
Active (Stigmergic),0.48443579766536965
Active (Stigmergic),0.5116883116883116
Active (Stigmergic),0.5292620865139949
Active (Stigmergic),0.5173333333333333
Active (Stigmergic),0.5261096605744126
Active (Stigmergic),0.5208860759493671
Active (Stigmergic),0.5152519893899205
Active (Stigmergic),0.4935483870967742
Active (Stigmergic),0.49654218533886585
Active (Stigmergic),0.5203527815468114
Active (Stigmergic),0.4953580901856764
Active (Stigmergic),0.48565279770444764
Active (Stigmergic),0.503994673768309
Active (Stigmergic),0.5020215633423181
Active (Stigmergic),0.48204022988505746
Active (Stigmergic),0.49254742547425473
Active (Stigmergic),0.47386519944979366
Active (Stigmergic),0.5201560468140443
Active (Stigmergic),0.4822404371584699
Active (Stigmergic),0.4810810810810811
Active (Stigmergic),0.5220588235294118
Active (Stigmergic),0.49072847682119203
Active (Stigmergic),0.4884196185286104
Active (Stigmergic),0.5066755674232309
Active (Stigmergic),0.5209459459459459
Active (Stigmergic),0.535006605019815
Active (Stigmergic),0.5161943319838057
Active (Stigmergic),0.5140252454417953
Active (Stigmergic),0.5068306010928961
Active (Stigmergic),0.5204918032786885
Active (Stigmergic),0.504654255319149
Active (Stigmergic),0.5232558139534884
Active (Stigmergic),0.5262068965517241
Active (Stigmergic),0.5213618157543392
Active (Stigmergic),0.4979166666666667
Active (Stigmergic),0.5084745762711864
Active (Stigmergic),0.502092050209205
Active (Stigmergic),0.4953457446808511
Active (Stigmergic),0.5006648936170213
Active (Stigmergic),0.5157430730478589
Active (Stigmergic),0.5310913705583756
Active (Stigmergic),0.5200267022696929
Active (Stigmergic),0.500646830530401
Active (Stigmergic),0.5081967213114754
Active (Stigmergic),0.5006485084306096
Active (Stigmergic),0.508248730964467
Active (Stigmergic),0.4910958904109589
Active (Stigmergic),0.4965564738292011
Active (Stigmergic),0.49931787175989084
Active (Stigmergic),0.5111731843575419
Active (Stigmergic),0.5
Active (Stigmergic),0.5139064475347661
Active (Stigmergic),0.49238227146814406
Active (Stigmergic),0.4798177083333333
Active (Stigmergic),0.4980417754569191
Active (Stigmergic),0.5019607843137255
Active (Stigmergic),0.5105820105820106
Active (Stigmergic),0.49313186813186816
Active (Stigmergic),0.5125
Active (Stigmergic),0.531628532974428
Active (Stigmergic),0.510148849797023
Active (Stigmergic),0.47281167108753314
Active (Stigmergic),0.47989276139410186
Active (Stigmergic),0.510854816824966
Active (Stigmergic),0.5013071895424837
Active (Stigmergic),0.5141318977119784
Active (Stigmergic),0.5102319236016372
Active (Stigmergic),0.5034916201117319
Active (Stigmergic),0.5101626016260162
Active (Stigmergic),0.5104895104895105
Active (Stigmergic),0.47435897435897434
Active (Stigmergic),0.4827109266943292
Active (Stigmergic),0.4931129476584022
Active (Stigmergic),0.5107962213225371
Active (Stigmergic),0.5
Active (Stigmergic),0.4913907284768212
Active (Stigmergic),0.5081632653061224
Active (Stigmergic),0.5069832402234636
Active (Stigmergic),0.5109140518417462
Active (Stigmergic),0.5107382550335571
Active (Stigmergic),0.5052151238591917
Active (Stigmergic),0.5180240320427236
Active (Stigmergic),0.5336473755047106
Active (Stigmergic),0.47831978319783197
Active (Stigmergic),0.5281045751633987
Active (Stigmergic),0.505586592178771
Active (Stigmergic),0.47580645161290325
Active (Stigmergic),0.5128755364806867
Active (Stigmergic),0.4978601997146933
Active (Stigmergic),0.5033025099075297
Active (Stigmergic),0.5195707070707071
Active (Stigmergic),0.49385245901639346
Active (Stigmergic),0.5027662517289073
Active (Stigmergic),0.5045751633986928
