Group,Final_Clustering_Score,Delta_Score
Active (Stigmergic),0.5121130551816958,0.22207267833109018
Active (Stigmergic),0.5244565217391305,0.23369565217391308
Active (Stigmergic),0.5086206896551724,0.2115384615384615
Active (Stigmergic),0.4941558441558442,0.1850649350649351
Active (Stigmergic),0.49801324503311256,0.18410596026490061
Active (Stigmergic),0.48753280839895013,0.19160104986876642
Active (Stigmergic),0.5210997442455243,0.19373401534526852
Active (Stigmergic),0.5116580310880829,0.205958549222798
Active (Stigmergic),0.5104712041884817,0.19764397905759162
Active (Stigmergic),0.5019607843137255,0.18627450980392157
Active (Stigmergic),0.4993412384716733,0.1785243741765481
Active (Stigmergic),0.5091984231274639,0.20565045992115638
Active (Stigmergic),0.4865951742627346,0.19235924932975873
Active (Stigmergic),0.5253077975376197,0.23597811217510262
Active (Stigmergic),0.49869621903520206,0.19165580182529335
Active (Stigmergic),0.5025510204081632,0.19706632653061223
Active (Stigmergic),0.5343264248704663,0.2273316062176166
Active (Stigmergic),0.5108974358974359,0.2006410256410256
Active (Stigmergic),0.5245683930942895,0.2038512616201859
Active (Stigmergic),0.5013550135501355,0.20054200542005413
Active (Stigmergic),0.4725848563968668,0.16253263707571797
Active (Stigmergic),0.4856361149110807,0.19493844049247605
Active (Stigmergic),0.5155195681511471,0.21187584345479082
Active (Stigmergic),0.5449936628643853,0.24524714828897343
Active (Stigmergic),0.5072368421052632,0.20197368421052636
Active (Stigmergic),0.5060080106809078,0.20894526034712946
Active (Stigmergic),0.5100133511348465,0.22696929238985314
Active (Stigmergic),0.5428388746803069,0.2186700767263427
Active (Stigmergic),0.5218579234972678,0.2254098360655738
Active (Stigmergic),0.49932614555256066,0.21900269541778977
Active (Stigmergic),0.5186170212765957,0.22739361702127653
Active (Stigmergic),0.4847009735744089,0.19541029207232263
Active (Stigmergic),0.49195710455764075,0.19436997319034854
Active (Stigmergic),0.4844384303112314,0.19282814614343707
Active (Stigmergic),0.5397135416666666,0.21549479166666663
Active (Stigmergic),0.4979310344827586,0.20344827586206893
Active (Stigmergic),0.5040106951871658,0.22994652406417115
Active (Stigmergic),0.510148849797023,0.20771312584573748
Active (Stigmergic),0.496684350132626,0.1797082228116711
Active (Stigmergic),0.504,0.19466666666666665
Active (Stigmergic),0.5104438642297651,0.1984334203655353
Active (Stigmergic),0.49623588456712675,0.1932245922208281
Active (Stigmergic),0.4871621621621622,0.20472972972972975
Active (Stigmergic),0.4993093922651934,0.20649171270718236
Active (Stigmergic),0.5207522697795072,0.21271076523994814
Active (Stigmergic),0.5187667560321716,0.19369973190348527
Active (Stigmergic),0.5319148936170213,0.23138297872340424
Active (Stigmergic),0.4986206896551724,0.2013793103448276
Active (Stigmergic),0.5054945054945055,0.20947802197802196
Active (Stigmergic),0.5183006535947713,0.2052287581699347
Active (Stigmergic),0.519471488178025,0.24339360222531292
Active (Stigmergic),0.5006793478260869,0.20584239130434778
Active (Stigmergic),0.5237179487179487,0.20576923076923082
Active (Stigmergic),0.5103734439834025,0.22199170124481327
Active (Stigmergic),0.5128205128205128,0.23009446693657215
Active (Stigmergic),0.5007002801120448,0.21778711484593838
Active (Stigmergic),0.509271523178808,0.2132450331125828
Active (Stigmergic),0.5244845360824743,0.21649484536082475
Active (Stigmergic),0.5295735900962861,0.24346629986244844
Active (Stigmergic),0.5047043010752689,0.2170698924731183
Active (Stigmergic),0.5119205298013245,0.204635761589404
Active (Stigmergic),0.5305989583333334,0.20312500000000006
Active (Stigmergic),0.5394566623544631,0.2354463130659767
Active (Stigmergic),0.5032383419689119,0.20012953367875647
Active (Stigmergic),0.5098684210526315,0.23092105263157892
Active (Stigmergic),0.4795774647887324,0.19859154929577466
Active (Stigmergic),0.5013831258644537,0.20677731673582295
Active (Stigmergic),0.5183423913043478,0.21874999999999994
Active (Stigmergic),0.5068212824010914,0.22169167803547063
Active (Stigmergic),0.5127345844504021,0.21179624664879354
Active (Stigmergic),0.5206985769728332,0.20116429495472193
Active (Stigmergic),0.5135834411384217,0.22186287192755494
Active (Stigmergic),0.4906166219839142,0.1910187667560322
Active (Stigmergic),0.5032894736842105,0.19605263157894737
Active (Stigmergic),0.5136897001303781,0.21382007822685783
Active (Stigmergic),0.4914772727272727,0.19247159090909088
Active (Stigmergic),0.5072368421052632,0.2190789473684211
Active (Stigmergic),0.5197889182058048,0.22229551451187335
Active (Stigmergic),0.5365384615384615,0.22756410256410253
Active (Stigmergic),0.5110041265474553,0.22420907840440168
Active (Stigmergic),0.4915584415584416,0.1772727272727273
Active (Stigmergic),0.49667994687915007,0.20650730411686585
Active (Stigmergic),0.5254010695187166,0.22593582887700536
Active (Stigmergic),0.49730820995962316,0.1904441453566622
Active (Stigmergic),0.5021097046413502,0.21940928270042193
Active (Stigmergic),0.5159574468085106,0.20811170212765956
Active (Stigmergic),0.5006684491978609,0.1971925133689839
Active (Stigmergic),0.49055330634278005,0.18353576248313092
Active (Stigmergic),0.5105820105820106,0.2195767195767196
Active (Stigmergic),0.5127345844504021,0.22117962466487928
Active (Stigmergic),0.5041322314049587,0.20730027548209368
Active (Stigmergic),0.503209242618742,0.19062901155327344
Active (Stigmergic),0.504774897680764,0.22305593451568895
Active (Stigmergic),0.5054495912806539,0.20504087193460485
Active (Stigmergic),0.4933862433862434,0.1878306878306878
Active (Stigmergic),0.5274725274725275,0.23901098901098905
Active (Stigmergic),0.5147814910025706,0.1973007712082262
Active (Stigmergic),0.5121621621621621,0.20135135135135135
Active (Stigmergic),0.498046875,0.21549479166666669
