Trial,Step_500,Step_1000,Step_1500,Step_2000,Step_2500,Step_3000,Step_3500,Step_4000,Step_4500,Step_5000,Step_5500,Step_6000,Step_6500,Step_7000,Step_7500,Step_8000,Step_8500,Step_9000,Step_9500,Step_10000
59,-18.552227048957086,47.98009087364781,49.38637804484814,35.73930344257973,49.36233190514835,17.616585007414518,-16.38161977542209,-1.2774669676956663,2.3289693389025756,32.246643074102394,71.30124742370141,18.433651975298822,22.181624592825827,36.73929360019182,-3.9850102441348425,1.7105642736766284,25.257931245553724,-6.528676121174305,33.711599170131535,28.92032418126057
60,68.19933721829844,125.85142682253849,72.97254692841396,89.65911083588793,69.88150228967788,16.2504707227139,31.290654709767132,10.394752012507317,43.624785479453706,74.41137723842226,56.894427515279865,37.931056830846146,69.77041800711619,38.802962311202315,32.748888004703545,71.05140091401087,87.66826725594349,121.0513499972478,118.76584362068405,103.93736996316338
61,29.60489626627146,-0.5387777741065847,20.47514821766374,73.86715448207632,68.3713782777571,0.06689894719492599,-46.29497078426011,-2.5486295185918038,-27.255490932075872,31.09272926668535,-18.0287368726375,50.16083741277273,31.776140987780938,7.188458427160714,20.026297582141236,2.017598685818446,-14.745458220589944,-35.168813289961385,7.026723335335431,-20.85945841894819
62,-0.44218419687599847,-16.028162898199252,-44.7330740943282,-46.71979975729764,0.9535036061546706,-23.293465938982706,-61.62833116436421,-78.97973002293831,-85.41434396354254,-75.71915347394999,-39.97637681128069,-48.012273697669784,-49.67406497420855,-48.998940463528875,-53.57845544692876,-93.06397787274817,-68.29548508819703,-46.84678612903917,-24.954964935238458,7.6848573059178396
63,2.9715710819620753,-20.2286624380926,-35.88630277362318,-55.27742814794272,-53.69068245047791,-18.18948645611889,-13.169908767460745,42.74346161209351,27.90619576187324,-37.41630235366906,-36.24696702099602,-75.2740434178872,-59.75174496797196,-50.82793815241227,-11.198747968234695,-9.933965724689173,-29.9415769501595,-12.9862647846833,-0.5926653611028143,8.989874745886464
64,17.716196548632745,-11.482550229758372,7.780748076086124,-12.828101497383372,-53.56143425361651,-100.60636495107732,-43.80518713898197,-21.199344380746837,-16.753976830426375,-53.62952433370141,-97.02737503653024,-32.7990937279213,-9.97135938354783,9.20962762790995,-41.50131500546136,-65.91488645360121,-42.06340066480108,-60.38578329381894,19.679293301494525,-36.56739890295009
65,17.689977793492503,47.68348524437374,26.668928599964342,46.88814451742052,-42.42883639212479,-33.9870846507141,43.042562991986905,41.949937419035436,78.3903909999268,93.84941344980346,97.56128789147448,80.50794871495864,68.52010327323072,66.14394218431971,40.99724944372579,64.06380346844274,11.961277825426825,44.830617254293124,27.964691350597285,83.46499331226536
66,-4.420121729921536,-18.437039150598174,-30.90899380243514,-33.2255027275476,-49.258299121998526,-12.497837657233205,9.860388464714239,4.596419005302108,-7.5111207530116815,-2.5478966646713688,10.23449037712935,-3.254338287744558,-54.34481319605353,-47.88613576184309,-47.7465998563432,-13.094699097826764,17.621323958551756,-57.02958647608581,-79.33215075637754,-25.857083161684862
67,-2.9317239577890546,-26.49267019139513,-29.013720627413527,-74.36221227263509,-113.51370225401456,-67.96755398780772,-57.29002754261,-74.81052822138253,-72.74676211230269,-99.60608548325057,-162.1926546114701,-129.83193117473596,-134.57241907067583,-126.30628014053882,-94.28908954900868,-95.1584022370166,-98.2997527782228,-93.64741885492896,-146.260037725563,-110.94972888423857
68,64.80441387729795,72.49398817158477,109.59020375594491,47.12325216298728,79.85738515149814,80.9069571689669,85.26072667616059,69.0511518165778,62.803136893565465,63.86295443776581,31.50564952969296,73.97348662180258,82.03431232529643,47.94767078158245,61.228836825425425,68.27191976925802,59.90533249860691,98.07323757826538,59.08833914842232,20.47449754000329
69,-57.63677074554251,-46.43521528577491,1.1712841473001276,-40.02186926639086,-62.43381094793622,-34.18120348183915,-20.560461461782516,19.692232395012606,-39.25102019663924,-73.57976098040018,-26.126345350953727,-31.77133301825194,-17.759549625347262,-48.87237089509944,-50.06205550254008,-11.287627172912153,-81.25616323085248,-42.87048918512117,-111.35944056967158,-34.02269920935529
70,84.48257055091271,69.14813806206145,50.41587579733825,41.86042914154197,11.148700088152427,13.82285409762532,9.763645658987958,19.240713105553564,-6.886204760477455,-21.40671863007749,12.796529908023356,-32.305072795988806,-34.786675973519195,-20.041168355227196,-46.851496669807645,7.946455096339447,-7.4149886770458675,-20.380491660090737,-12.621651182807692,-16.200944894929155
71,21.353468015718757,33.91975537022215,-42.07834345151767,5.085783031701095,-4.891747238798994,16.564860515944506,-21.97710102334043,-24.43537902220175,-33.28642555501987,-32.12761823114361,-8.658786564969787,64.32582047632958,17.017906875143115,-19.71558325413084,36.562739698887086,27.098150521650197,24.749278620341755,12.784028784849122,29.552715799615676,1.0266223240542616
72,-14.708334336841446,-43.59187959503477,-8.653948732318606,16.25503561788683,74.23406715100441,37.94532773569317,21.778964456086854,67.16321720969262,13.502624351142638,30.335304987487792,13.66988415885844,-47.44303157760656,-4.079375270202479,-15.147850705013212,16.634334993631047,-33.83679440757954,-25.160349143164353,-39.446243375309614,23.868633040650295,32.43591647837428
73,10.172642421060619,-39.28352941518008,-20.25732665503426,-44.352275324259494,-15.664595623603157,-16.130064212847124,4.082459999064038,40.511707685908796,-34.573886233921904,-34.5888769121715,-10.068805616632568,70.05201408068993,-7.340701110362578,9.188331667696584,47.68006433146711,-33.376041230945546,6.407132803052358,20.885473430982646,-19.639052963705815,5.834254004075644
74,10.37966866179276,-10.451046137656801,-16.21968177895047,-34.10354567217686,-32.90731573642847,-11.472701820287712,11.254455064245459,4.506635725611346,-2.910570624907328,-77.4315433258753,-62.81509375164826,-69.69424076380955,-25.399795799676262,-2.0297104297388984,-41.8422123153674,-11.963457608437379,17.21019731238673,5.275705270371191,4.132237701562218,-51.43421309377614
75,11.811752318001705,81.8979985090206,52.71438255758235,89.122613819722,72.59829801716707,53.101822091938395,72.50003412588912,37.59286527612082,30.031855046662,23.496596666492845,36.31670799769136,80.98458066621474,24.545689760852923,32.77571095481459,-11.576517115222865,15.604195103372243,44.01165816063157,10.755405191978893,31.421005278275306,32.188495079552226
76,70.47700304668987,95.11942693430822,46.42210788852123,38.95708136686969,41.1520420419493,72.00351197310438,60.32632593777046,48.046556545437284,19.39098272756146,22.336401736769847,76.95039382393475,41.751162571147866,39.11748106130891,17.825511635105162,26.815443196789516,76.49047029551016,44.773258744972935,7.984873866862979,56.103656629583284,80.44664037824124
