Trial,Step_500,Step_1000
302,7.469815500528182,-42.82486201253144
303,-9.016298496899854,-14.585248937285588
304,-17.202171564554156,-6.034212854604251
305,-10.181331271569771,-12.93682265567028
306,-55.54138125158427,-53.458125468989834
307,3.049685171585948,-19.02641875166707
308,23.128593044736174,56.13653544964112
309,-57.67969844371672,7.186311432777927
310,23.344754556983514,-39.89296619509879
311,16.335670778781513,52.177393629388646
312,31.64316290114479,-9.332368218473388
313,-38.45797505513436,15.234708662877997
314,23.65539495005639,23.28566172348057
315,-38.44637907843062,-67.6646199493425
316,-0.32780859423869374,-18.488878988587338
317,-4.02627545363143,50.079433133798645
318,58.849711291102494,13.4775622692722
319,6.454054483375296,-34.61222425885
320,29.600262279449137,-0.9603072598211255
321,5.224782504134081,-25.938418972377463
322,18.846626520820166,0.3079459760781994
323,4.840436529394497,25.129400046546444
324,16.43276295089312,19.445802305341946
325,13.657393663045323,39.14448211516343
326,16.776129889549587,60.112325805469084
327,-16.66086874236545,-18.719740322934225
328,-64.4775914281312,-56.290362409092154
329,-31.491196544985478,-89.09646836348332
330,47.56794920358908,64.69345143258406
331,-11.669535318461723,2.226299918957808
332,-24.692371452065757,-8.043125484381024
333,42.25752924190729,57.07744505259815
334,1.0521450435230548,-12.008953795711975
335,-7.738250657789168,-23.010693257277726
336,-26.615157778630387,-53.50225145989693
337,-24.08567576794447,-19.32231926014322
338,54.234860349005324,52.896743987590085
339,1.439051411328282,-35.850114035911986
340,15.03317553674343,43.35503787637734
341,-25.231735418195804,-20.065954436055534
342,31.68839821996538,42.452625557570194
343,4.338552027021204,-11.598332748298105
344,15.620181583766499,31.88468613890692
345,24.52613953842581,0.8383692588194804
346,0.2537774113393979,-57.326374972939924
347,-30.21622065086576,76.00058873774529
348,3.282852743223794,5.8642681386932995
349,-14.018304644204399,25.782271019611482
350,-30.186334020461462,-6.2544654809049645
351,-32.614972020011216,-29.54979497875023
352,-4.293004756942565,-60.49051204255148
353,-4.863654502884026,-15.385062829186857
354,-14.462476076272859,-31.829311306343904
355,-12.444026237835525,-41.79863528574126
356,-34.85455795957511,17.673557232333685
357,-7.743814346442571,-31.76663152261911
358,42.34466656276384,60.454506793923436
359,-39.41948948461168,-55.68737508770387
360,24.79599472102594,14.152361983505891
361,10.282430176709337,-17.49207033889492
362,-13.60902299110306,14.986559477826592
363,-20.294710156683287,27.08154300972262
364,-29.468750670087577,-10.163734713562823
365,-27.374467439301547,-11.685410019000855
366,43.8649316097503,11.608961437405593
367,-30.262211171534783,-37.741845538204345
368,-52.93431948106821,-56.2167505742505
369,-44.64468677154195,-10.18545120672689
370,-4.102542803318772,13.359695343702569
371,-11.366894618926757,6.735669189471265
372,20.461076113411227,31.512277945474263
373,-52.17269495784053,-46.12627962418746
374,35.99116632248095,8.513433886769155
375,48.29213268141696,67.1282979786693
376,-3.120882873471731,54.33904318313438
377,-38.15635079789793,-51.17670357641476
378,26.658788020190322,42.49217198825614
379,27.586088840693137,10.812546530347499
380,65.14757974614028,54.70276063326777
381,-30.33936867826965,-6.038169173590637
382,6.408666991388141,22.771134259665153
383,-12.786499355745125,-48.05225007954886
384,22.683421839818546,-1.0900848983555336
385,-31.71671321687465,-1.8335369767334129
386,9.982977860447829,-34.092963909404375
387,76.92359589940352,78.32093035254584
388,30.86816745189328,54.63723104262473
389,-3.3609718824803623,56.05839091492318
390,-1.3469042146106802,25.850528661127907
391,-25.562524810371116,-24.70529076706819
392,17.280199157098515,32.921305518135235
393,51.043235934284915,10.37394878508346
394,-33.76731681353147,-15.227967028937403
395,10.866254256762456,-7.838966304975097
396,19.47960301488469,5.975648733247491
397,-25.622187702049622,-48.82323758562903
398,60.608403345293475,91.07011425321997
399,-30.712592840941397,6.4300628271492
400,-9.577197953260862,-0.140275736968335
401,52.35127978800185,84.78284948888829
402,58.032527666842824,45.46011571068066
403,57.692825129939656,104.20878606529217
404,-9.561767060194544,-33.86652003130206
405,29.36298485919635,-24.900802082891744
406,56.60634824378662,17.56157958562522
407,-53.01886470002141,30.342523051049056
408,-48.73660389457963,-11.44217149696242
409,4.547402311356511,-5.930537889545041
410,57.71111673697681,75.7857404239325
411,-31.632453997630357,-54.290220210136674
412,-20.423464102692733,-21.712087913264757
413,-38.82692237925115,-6.925982077915694
414,-15.440654717056036,39.640758381172
415,4.942267393870166,24.40412451982192
416,24.593301170372307,15.55697528088039
417,-45.851277391230106,-22.087461589240707
418,19.160556659754057,36.348510841554315
419,-6.853132842603725,27.527319266376125
420,67.35922621527804,0.6324396584419822
421,24.015484711477225,0.7232879051540863
422,-16.416106612622052,-36.7138184869867
423,25.574197484847954,70.17389391334189
424,27.80476183694904,42.20830359298657
425,54.745518623312904,27.512854592461302
426,-4.304719366956097,2.3725494576998982
427,-28.318148317060444,-15.546444735756705
428,-44.30809631982933,-94.12988082346286
429,21.004203638511438,-11.184047991328548
430,23.51568259401311,36.16007487422845
431,-61.969845458522904,-67.91215955002417
432,12.104670759797884,18.77718434852022
433,-9.436251638941359,-42.43114676472813
434,-0.8972414740571708,27.111896952645036
435,12.972342639798873,14.726150278546067
436,-14.372650519038055,-41.830590833259066
437,-75.39354356940406,-39.021067411259644
438,20.752583277670436,1.7255395859848037
439,9.326679384327308,14.182007858840096
440,28.957768366988184,9.483659273715174
441,38.88279652921018,72.07399082523187
442,17.226846547737395,44.10011463515523
443,-40.27735170972073,-34.194176399019376
444,46.17839067710629,62.46528157243449
445,10.642933197940405,-18.901999224738226
446,-37.782971900556184,-25.07827500482277
447,29.87634494189576,-30.021631153131352
448,20.03680375314478,-22.23709456874874
449,9.557412630840046,-30.624601340561686
450,-44.42198592548127,-17.20508102142132
451,-0.8886883952003288,-36.08845930694058
452,-31.394237507640536,-34.34536178361216
453,-42.44055341384887,-32.25336148915123
454,-30.048735084028927,-51.436204579090976
455,40.19677030243702,52.38179443454862
456,49.710453029049255,-5.161519052959198
457,-32.923851152799,-44.027248704182874
